,Name,Full Path,Complexity,Amount of changes,Complexity Trend
public/emoji/1f64b-1f3fd-200d-2642-fe0f.svg,1f64b-1f3fd-200d-2642-fe0f.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f64b-1f3fd-200d-2642-fe0f.svg,1.0,0,
public/emoji/1f91b.svg,1f91b.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f91b.svg,1.0,0,
public/emoji/1f928.svg,1f928.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f928.svg,1.0,0,
public/emoji/1f937-200d-2642-fe0f.svg,1f937-200d-2642-fe0f.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f937-200d-2642-fe0f.svg,1.0,0,
public/emoji/1f469-1f3ff-200d-1f3a4.svg,1f469-1f3ff-200d-1f3a4.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f469-1f3ff-200d-1f3a4.svg,1.0,0,
public/emoji/1f1f3-1f1eb.svg,1f1f3-1f1eb.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f1f3-1f1eb.svg,1.0,0,
public/emoji/26f9-1f3fc.svg,26f9-1f3fc.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/26f9-1f3fc.svg,1.0,0,
public/emoji/1f469-1f3ff-200d-2764-fe0f-200d-1f469-1f3fb.svg,1f469-1f3ff-200d-2764-fe0f-200d-1f469-1f3fb.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f469-1f3ff-200d-2764-fe0f-200d-1f469-1f3fb.svg,1.0,0,
public/emoji/1f328_border.svg,1f328_border.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f328_border.svg,9.0,0,
public/emoji/1f7e4.svg,1f7e4.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f7e4.svg,1.0,0,
public/emoji/1f9d1-1f3fc-200d-2764-fe0f-200d-1f9d1-1f3fd.svg,1f9d1-1f3fc-200d-2764-fe0f-200d-1f9d1-1f3fd.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f9d1-1f3fc-200d-2764-fe0f-200d-1f9d1-1f3fd.svg,1.0,0,
public/emoji/1f9d1-1f3fc-200d-1f373.svg,1f9d1-1f3fc-200d-1f373.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f9d1-1f3fc-200d-1f373.svg,1.0,0,
public/emoji/1f469-1f3fe-200d-2764-fe0f-200d-1f48b-200d-1f468-1f3fb.svg,1f469-1f3fe-200d-2764-fe0f-200d-1f48b-200d-1f468-1f3fb.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f469-1f3fe-200d-2764-fe0f-200d-1f48b-200d-1f468-1f3fb.svg,1.0,0,
public/emoji/1f3cb-1f3fb.svg,1f3cb-1f3fb.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f3cb-1f3fb.svg,1.0,0,
public/emoji/1f4de_border.svg,1f4de_border.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f4de_border.svg,7.0,0,
public/emoji/1f469-1f3ff-200d-1f373.svg,1f469-1f3ff-200d-1f373.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f469-1f3ff-200d-1f373.svg,1.0,0,
public/emoji/270a-1f3ff.svg,270a-1f3ff.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/270a-1f3ff.svg,1.0,0,
public/emoji/1f468-1f3fd-200d-1f37c.svg,1f468-1f3fd-200d-1f37c.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f468-1f3fd-200d-1f37c.svg,1.0,0,
public/emoji/1f9d1-1f3fc-200d-1f3a4.svg,1f9d1-1f3fc-200d-1f3a4.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f9d1-1f3fc-200d-1f3a4.svg,1.0,0,
public/emoji/1f7eb.svg,1f7eb.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f7eb.svg,1.0,0,
public/emoji/1f646-1f3fd-200d-2642-fe0f.svg,1f646-1f3fd-200d-2642-fe0f.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f646-1f3fd-200d-2642-fe0f.svg,1.0,0,
public/emoji/1f3c4-1f3fc-200d-2642-fe0f.svg,1f3c4-1f3fc-200d-2642-fe0f.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f3c4-1f3fc-200d-2642-fe0f.svg,1.0,0,
public/emoji/1f9ce-1f3fb.svg,1f9ce-1f3fb.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f9ce-1f3fb.svg,1.0,0,
public/emoji/2b55.svg,2b55.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/2b55.svg,1.0,0,
public/emoji/1f482_border.svg,1f482_border.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f482_border.svg,31.0,0,
public/emoji/1f69f.svg,1f69f.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f69f.svg,1.0,0,
public/emoji/1fa72.svg,1fa72.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1fa72.svg,1.0,0,
public/emoji/1f468-1f3fd-200d-2764-fe0f-200d-1f48b-200d-1f468-1f3ff.svg,1f468-1f3fd-200d-2764-fe0f-200d-1f48b-200d-1f468-1f3ff.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f468-1f3fd-200d-2764-fe0f-200d-1f48b-200d-1f468-1f3ff.svg,1.0,0,
public/emoji/1f90c-1f3ff.svg,1f90c-1f3ff.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f90c-1f3ff.svg,1.0,0,
public/emoji/26f9-1f3fb-200d-2640-fe0f.svg,26f9-1f3fb-200d-2640-fe0f.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/26f9-1f3fb-200d-2640-fe0f.svg,1.0,0,
public/emoji/1f1e8-1f1f2.svg,1f1e8-1f1f2.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f1e8-1f1f2.svg,1.0,0,
public/emoji/1f64d-1f3ff-200d-2642-fe0f.svg,1f64d-1f3ff-200d-2642-fe0f.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f64d-1f3ff-200d-2642-fe0f.svg,1.0,0,
public/emoji/1f68b.svg,1f68b.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f68b.svg,1.0,0,
public/emoji/1f931-1f3fb.svg,1f931-1f3fb.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f931-1f3fb.svg,1.0,0,
public/emoji/1f1ed-1f1f3.svg,1f1ed-1f1f3.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f1ed-1f1f3.svg,1.0,0,
public/emoji/1f690.svg,1f690.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f690.svg,1.0,0,
public/emoji/1f9d1-1f3ff-200d-1f91d-200d-1f9d1-1f3fc.svg,1f9d1-1f3ff-200d-1f91d-200d-1f9d1-1f3fc.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f9d1-1f3ff-200d-1f91d-200d-1f9d1-1f3fc.svg,1.0,0,
public/emoji/1f442-1f3fe.svg,1f442-1f3fe.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f442-1f3fe.svg,1.0,0,
public/emoji/1faa5.svg,1faa5.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1faa5.svg,1.0,0,
public/emoji/1f1e8-1f1fd.svg,1f1e8-1f1fd.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f1e8-1f1fd.svg,1.0,0,
public/emoji/1f684.svg,1f684.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f684.svg,1.0,0,
public/emoji/1f9d5-1f3fd.svg,1f9d5-1f3fd.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f9d5-1f3fd.svg,1.0,0,
public/emoji/1f596-1f3fd.svg,1f596-1f3fd.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f596-1f3fd.svg,1.0,0,
public/emoji/1f486-1f3ff.svg,1f486-1f3ff.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f486-1f3ff.svg,1.0,0,
public/emoji/1f9cf-200d-2640-fe0f.svg,1f9cf-200d-2640-fe0f.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f9cf-200d-2640-fe0f.svg,1.0,0,
public/emoji/1f647-1f3fc.svg,1f647-1f3fc.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f647-1f3fc.svg,1.0,0,
public/emoji/1f6c4.svg,1f6c4.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f6c4.svg,1.0,0,
public/emoji/1f468-1f3fc-200d-1f91d-200d-1f468-1f3fe.svg,1f468-1f3fc-200d-1f91d-200d-1f468-1f3fe.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f468-1f3fc-200d-1f91d-200d-1f468-1f3fe.svg,1.0,0,
public/emoji/1f408-200d-2b1b.svg,1f408-200d-2b1b.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f408-200d-2b1b.svg,1.0,0,
public/emoji/1f6b0.svg,1f6b0.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f6b0.svg,1.0,0,
public/emoji/1f9dd-1f3ff.svg,1f9dd-1f3ff.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f9dd-1f3ff.svg,1.0,0,
public/emoji/1f471-1f3fc.svg,1f471-1f3fc.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f471-1f3fc.svg,1.0,0,
public/emoji/1f64a.svg,1f64a.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f64a.svg,1.0,0,
public/emoji/1f93e-1f3fc-200d-2640-fe0f.svg,1f93e-1f3fc-200d-2640-fe0f.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f93e-1f3fc-200d-2640-fe0f.svg,1.0,0,
public/emoji/1f1ed.svg,1f1ed.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f1ed.svg,1.0,0,
public/emoji/1f6cb.svg,1f6cb.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f6cb.svg,1.0,0,
public/emoji/1f9d1-1f3fd-200d-1f9b0.svg,1f9d1-1f3fd-200d-1f9b0.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f9d1-1f3fd-200d-1f9b0.svg,1.0,0,
public/emoji/1f6bf.svg,1f6bf.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f6bf.svg,1.0,0,
public/emoji/1f647.svg,1f647.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f647.svg,1.0,0,
public/emoji/1fa99.svg,1fa99.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1fa99.svg,1.0,0,
public/emoji/1f9d1-1f3fe-200d-2695-fe0f.svg,1f9d1-1f3fe-200d-2695-fe0f.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f9d1-1f3fe-200d-2695-fe0f.svg,1.0,0,
public/emoji/1f49d.svg,1f49d.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f49d.svg,1.0,0,
public/emoji/1f9d1-1f3fc-200d-1f9b3.svg,1f9d1-1f3fc-200d-1f9b3.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f9d1-1f3fc-200d-1f9b3.svg,1.0,0,
public/emoji/1f469-1f3ff-200d-1f9b3.svg,1f469-1f3ff-200d-1f9b3.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f469-1f3ff-200d-1f9b3.svg,1.0,0,
public/emoji/1f385-1f3fb.svg,1f385-1f3fb.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f385-1f3fb.svg,1.0,0,
public/emoji/1f46b-1f3ff.svg,1f46b-1f3ff.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f46b-1f3ff.svg,1.0,0,
public/emoji/1f468-1f3fd-200d-1f9bc.svg,1f468-1f3fd-200d-1f9bc.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f468-1f3fd-200d-1f9bc.svg,1.0,0,
public/emoji/1f487-1f3fc-200d-2640-fe0f.svg,1f487-1f3fc-200d-2640-fe0f.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f487-1f3fc-200d-2640-fe0f.svg,1.0,0,
public/emoji/1f468-1f3fc-200d-2764-fe0f-200d-1f468-1f3ff.svg,1f468-1f3fc-200d-2764-fe0f-200d-1f468-1f3ff.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f468-1f3fc-200d-2764-fe0f-200d-1f468-1f3ff.svg,1.0,0,
public/emoji/1f492.svg,1f492.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f492.svg,1.0,0,
public/emoji/1f486.svg,1f486.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f486.svg,1.0,0,
public/emoji/1f450-1f3fb.svg,1f450-1f3fb.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f450-1f3fb.svg,1.0,0,
public/emoji/1f33a.svg,1f33a.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f33a.svg,1.0,0,
public/emoji/1f4c6.svg,1f4c6.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f4c6.svg,1.0,0,
public/emoji/27a1.svg,27a1.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/27a1.svg,1.0,0,
public/emoji/1f1f8-1f1ef.svg,1f1f8-1f1ef.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f1f8-1f1ef.svg,1.0,0,
public/emoji/1f3e0.svg,1f3e0.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f3e0.svg,1.0,0,
public/emoji/1f1e6-1f1ec.svg,1f1e6-1f1ec.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f1e6-1f1ec.svg,1.0,0,
public/emoji/1f1e6-1f1f9.svg,1f1e6-1f1f9.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f1e6-1f1f9.svg,1.0,0,
public/emoji/1f3d4.svg,1f3d4.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f3d4.svg,1.0,0,
public/emoji/1f479.svg,1f479.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f479.svg,1.0,0,
public/emoji/1f44c.svg,1f44c.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f44c.svg,1.0,0,
public/emoji/1f32e.svg,1f32e.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f32e.svg,1.0,0,
public/emoji/1f4b2.svg,1f4b2.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f4b2.svg,1.0,0,
public/emoji/1f337.svg,1f337.svg,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/public/emoji/1f337.svg,1.0,0,
